age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
17.0,Private For-Profit,Grade 11,Never married,Retail Salespersons,PENNSYLVANIA,biological son or daughter,10.0,Female,White,False
55.0,State Government,"some college, but less than 1 year",Married,,Tennessee,Husband/wife,38.0,Female,White,False
18.0,Private For-Profit,Regular high school diploma,Never married,Fast Food And Counter Workers,Florida,Biological son or daughter,25.0,Female,White,False
44.0,Private For-Profit,Regular high school diploma,Married,Driver/Sales Workers And Truck Drivers,Utah,Husband/wife,45.0,Male,White,True
71.0,Self-Employed (Inc.),Professional degree beyond a bachelor's degree,Married,"Lawyers, And Judges, Magistrates, And Judicial Workers",Ohio,Husband/wife,60.0,Male,White,True
27.0,Private For-Profit,Bachelor's degree,Never married,Sales Managers,Michigan,unmarried partner,40.0,Male,White,False
62.0,Private For-Profit,Associate's degree,Married,"Engineering Technologists And Technicians, Except Drafters",Ohio,Reference person,50.0,Male,White,False
37.0,Private For-Profit,"12th grade, no diploma",Married,,California,Husband/wife,-10.0,M,White,True
42.0,Private For-Profit,Associate's degree,Married,Cost Estimators,Pennsylvania,Reference person,42.0,Male,White,False
35.0,Private For-Profit,Bachelor's degree,Divorced,"Sailors And Marine Oilers, And Ship Engineers",Iowa,Biological son or daughter,40.0,F,White,False
20.0,Private For-Profit,Regular high school diploma,Never married,"Laborers And Freight, Stock, And Material Movers, Hand",Illinois,Biological son or daughter,15.0,Male,White,False
56.0,State Government,bachelor's degree,Married,Elementary And Middle School Teachers,Louisiana,Husband/wife,50.0,Female,White,False
23.0,Private For-Profit,Regular high school diploma,Never married,Customer Service Representatives,Michigan,Grandchild,35.0,Male,Black,False
29.0,Private For-Profit,Professional degree beyond a bachelor's degree,Married,"Lawyers, And Judges, Magistrates, And Judicial Workers",Texas,husband/wife,35.0,Female,White,True
65.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,New Jersey,Husband/wife,14.0,Female,White,False
26.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Never married,,New York,Biological son or daughter,30.0,Male,White,False
63.0,Local Government,"One or more years of college credit, no degree",Married,Construction Laborers,NEVADA,Husband/wife,40.0,Male,American Indian,False
26.0,Federal Government,"Some college, but less than 1 year",Married,Postal Service Mail Carriers,california,Reference person,40.0,Female,White,False
73.0,Local Government,"one or more years of college credit, no degree",Never married,Information And Records Clerks,ARIZONA,Reference person,12.0,Male,White,False
28.0,Private For-Profit,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Never married,"Lawyers, And Judges, Magistrates, And Judicial Workers",Connecticut,Reference person,50.0,Female,White,True
56.0,Private For-Profit,DOCTORATE DEGREE,Married,Physicians,China,Husband/wife,40.0,fem,Asian,False
31.0,Private For-Profit,Master's degree,Married,Unknown,Texas,Reference person,45.0,Male,White,True
59.0,Private For-Profit,Regular high school diploma,Married,Bill And Account Collectors,Colorado,Reference person,40.0,Female,White,False
42.0,Private For-Profit,Regular high school diploma,Married,Personal Care Aides,Japan,Husband/wife,12.0,Female,Asian,False
,Private For-Profit,Regular high school diploma,Married,"Office Clerks, General",Oregon,husband/wife,40.0,Female,White,False
,Private For-Profit,Bachelor's degree,NEVER MARRIED,Computer Programmers,North Carolina,reference person,40.0,Female,White,True
42.0,Private For-Profit,"Some college, but less than 1 year",Married,"Engineering Technologists And Technicians, Except Drafters",tennessee,Reference person,43.0,Male,Black,True
65.0,Self-Employed (Not Inc.),Bachelor's degree,Married,"Religious Workers, All Other",Arizona,husband/wife,20.0,Female,wht,False
999.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,"Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",Texas,Reference person,48.0,Male,White,False
26.0,Private For-Profit,Bachelor's degree,NEVER MARRIED,Bartenders,OHIO,Reference person,35.0,Male,White,False
39.0,Private For-Profit,"12th grade, no diploma",Married,Floral Designers,Vietnam,Husband/wife,40.0,Female,Asian,False
78.0,Private For-Profit,Regular high school diploma,Widowed,Small Engine Mechanics,North Dakota,Reference person,35.0,Male,White,False
29.0,State Government,Regular high school diploma,Never married,"Laborers And Freight, Stock, And Material Movers, Hand",New Jersey,Reference person,50.0,Male,Black,False
58.0,,Bachelor's degree,Married,Elementary And Middle School Teachers,Texas,Reference person,40.0,M,White,True
35.0,Local Government,Bachelor's degree,married,Police Officers,NEW JERSEY,Reference person,50.0,Male,Asian,True
48.0,Private For-Profit,GED or alternative credential,Married,Driver/Sales Workers And Truck Drivers,Oregon,Husband/wife,48.0,Male,White,False
53.0,Private For-Profit,regular high school diploma,Never married,Managers,pennsylvania,Unmarried partner,45.0,Male,White,True
33.0,,Bachelor's degree,Married,"Social Workers, All Other",Connecticut,Reference person,50.0,Male,White,False
45.0,Private For-Profit,Bachelor's degree,Married,Registered Nurses,Philippines,Reference person,-10.0,Female,Asian,True
19.0,Private For-Profit,Regular high school diploma,Never married,Healthcare Support Workers,Ohio,Brother or sister,30.0,Female,White,False
59.0,Private For-Profit,Regular high school diploma,Married,Teachers and Instructors,MEXICO,Reference person,40.0,Male,White,True
60.0,Federal Government,Bachelor's degree,Never married,Computer Support Specialists,pennsylvania,reference person,60.0,Female,White,True
45.0,State Government,Bachelor's degree,Married,"Computer Occupations, All Other",Washington,Reference person,40.0,Male,White,True
43.0,Private For-Profit,Grade 9,Never married,Computer Numerically Controlled Tool Operators And Programmers,VIETNAM,Reference person,40.0,Male,Asian,False
25.0,Private For-Profit,Bachelor's degree,never married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Idaho,Other nonrelative,48.0,Female,White,False
50.0,Private For-Profit,Associate's degree,Divorced,Registered Nurses,Korea,Reference person,40.0,Female,Asian,True
59.0,Private For-Profit,Bachelor's degree,Married,"Packers And Packagers, Hand",ohio,Reference person,54.0,Male,White,False
41.0,Private Non-Profit,REGULAR HIGH SCHOOL DIPLOMA,Divorced,Janitors And Building Cleaners,California,Biological son or daughter,4.0,Male,White,False
58.0,Private For-Profit,Associate's degree,Divorced,Exercise Trainers And Group Fitness Instructors,Kansas,Reference person,40.0,Male,Black,True
63.0,State Government,Bachelor's degree,Divorced,"Social Workers, All Other",Puerto Rico,Reference person,40.0,fem,White,False
66.0,Private Non-Profit,Doctorate degree,Married,Managers,ohio,Reference person,40.0,Male,White,True
30.0,Private For-Profit,"Some college, but less than 1 year",Married,"Office Clerks, General",India,reference person,56.0,Female,Asian,False
50.0,State Government,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Housekeeping And Janitorial Workers,California,Reference person,40.0,Male,White,False
36.0,Self-Employed (Not Inc.),Regular high school diploma,Separated,Maids And Housekeeping Cleaners,El Salvador,Reference person,28.0,Female,Other Race,False
17.0,Self-Employed (Not Inc.),GRADE 10,Never married,Painters and Paperhangers,Texas,Biological son or daughter,4.0,male,White,False
48.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,"Laborers And Freight, Stock, And Material Movers, Hand",Arizona,Reference person,40.0,Female,White,True
44.0,Private For-Profit,bachelor's degree,Married,"Library Assistants, Clerical",New Mexico,Husband/wife,30.0,Female,White,False
18.0,,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Never married,Coaches and Scouts,Iowa,Noninstitutionalized group quarters population,10.0,Male,White,False
24.0,Private For-Profit,Bachelor's degree,never married,"Engineering Technologists And Technicians, Except Drafters",Illinois,Reference person,40.0,Male,Asian,False
58.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Painters and Paperhangers,Massachusetts,Husband/wife,32.0,Male,White,False
-5.0,State Government,Professional degree beyond a bachelor's degree,Never married,Budget Analysts,Puerto Rico,Reference person,200.0,Male,White,False
70.0,Self-Employed (Not Inc.),Associate's degree,Married,First-Line Supervisors Of Retail Sales Workers,Alabama,Husband/wife,30.0,Male,White,False
30.0,Self-Employed (Inc.),Bachelor's degree,Never married,Managers,Canada,Other nonrelative,40.0,fem,White,True
38.0,Private For-Profit,"12th grade, no diploma",Married,Home Health Aides,Pakistan,Husband/wife,5.0,Female,Asian,False
47.0,Private For-Profit,BACHELOR'S DEGREE,Married,Personal Financial Advisors,Virginia/VA,Reference person,40.0,Male,White,True
55.0,Private For-Profit,master's degree,Married,Mechanical Engineers,WISCONSIN,reference person,40.0,Male,White,True
59.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Married,Physicians,Illinois,Reference person,,Male,White,True
23.0,Private For-Profit,Regular high school diploma,Never married,Nursing Assistants,New Jersey,Reference person,40.0,Female,White,False
58.0,Private Non-Profit,bachelor's degree,Divorced,Couriers And Messengers,Trinidad & Tobago,Father or mother,32.0,Female,White,False
-5.0,Private For-Profit,Master's degree,Married,Software Developers,India,Reference person,40.0,Male,Asian,True
53.0,Private For-Profit,master's degree,Married,Preschool And Kindergarten Teachers,Michigan,Reference person,35.0,Female,White,False
49.0,Private For-Profit,Regular high school diploma,Divorced,Assemblers And Fabricators,North Dakota,Unmarried partner,40.0,Female,White,False
62.0,Private Non-Profit,Bachelor's degree,Divorced,Education And Childcare Administrators,GEORGIA,Reference person,40.0,fem,White,True
64.0,Private For-Profit,Regular high school diploma,Married,"Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",Ohio,Reference person,40.0,Male,White,False
55.0,State Government,"Some college, but less than 1 year",Married,Janitors And Building Cleaners,New York,Husband/wife,40.0,M,White,False
61.0,Private For-Profit,No schooling completed,Married,"First-Line Supervisors Of Farming, Fishing, And Forestry Workers",MEXICO,Reference person,40.0,Male,Other Race,False
57.0,Private Non-Profit,Master's degree,Married,Marketing Managers,Spain,reference person,40.0,Male,White,True
29.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Licensed Practical And Licensed Vocational Nurses,Pennsylvania,Reference person,48.0,Female,White,True
39.0,Private For-Profit,Regular high school diploma,Married,Janitors And Building Cleaners,Mexico,Husband/wife,40.0,Female,White,True
31.0,Private For-Profit,Grade 11,Married,Crane And Tower Operators,Louisiana,Reference person,200.0,Male,White,True
59.0,Private For-Profit,GED or alternative credential,Married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Louisiana,Husband/wife,40.0,Male,Black,False
63.0,Local Government,Master's degree,Divorced,Teaching Assistants,New York,Reference person,40.0,Female,White,False
37.0,Private For-Profit,ASSOCIATE'S DEGREE,Never married,Carpenters,Minnesota,Stepson or stepdaughter,20.0,Male,White,False
58.0,Private For-Profit,Regular high school diploma,Married,Food Preparation Workers,New York,Reference person,8.0,Female,wht,False
34.0,Private For-Profit,Regular high school diploma,Never married,,Connecticut,Biological son or daughter,60.0,Female,White,False
48.0,Private Non-Profit,Doctorate degree,Married,Education And Childcare Administrators,MARYLAND,Husband/wife,50.0,Female,White,True
54.0,,Bachelor's degree,Widowed,"Educational, Guidance, And Career Counselors And Advisors",Alabama,Reference person,55.0,Female,Black,False
39.0,Private For-Profit,Regular high school diploma,Never married,Maids And Housekeeping Cleaners,Puerto Rico,Reference person,40.0,Male,Other Race,False
35.0,Private Non-Profit,ASSOCIATE'S DEGREE,Never married,"Welding, Soldering, And Brazing Workers",nebraska,Reference person,50.0,Male,Black,False
28.0,Private For-Profit,Master's degree,Married,Software Developers,USSR,Husband/wife,45.0,fem,White,True
35.0,Private For-Profit,"Some college, but less than 1 year",Never married,Cooks,California,Biological son or daughter,25.0,Male,White,False
,Local Government,BACHELOR'S DEGREE,Married,Elementary And Middle School Teachers,Texas,Husband/wife,40.0,Female,White,False
59.0,Self-Employed (Not Inc.),Regular high school diploma,Divorced,Carpenters,Brazil,Reference person,38.0,M,White,False
60.0,Private Non-Profit,doctorate degree,Divorced,Postsecondary Teachers,Uruguay,Reference person,40.0,Female,White,True
19.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Customer Service Representatives,California,Biological son or daughter,4.0,Female,White,False
23.0,Private For-Profit,Grade 9,Never married,Chefs And Head Cooks,Florida,Reference person,75.0,F,White,False
24.0,Private For-Profit,Bachelor's degree,Never married,Retail Salespersons,Philippines,Biological son or daughter,25.0,Male,Asian,False
,Self-Employed (Inc.),Regular high school diploma,Never married,Construction Laborers,Ohio,Reference person,40.0,Male,White,False
,Private For-Profit,"12th grade, no diploma",Separated,First-Line Supervisors Of Production And Operating Workers,Georgia,Grandchild,50.0,Male,White,False
64.0,State Government,Grade 10,Widowed,Janitors And Building Cleaners,MISSISSIPPI,Reference person,40.0,fem,Black,False
81.0,Private For-Profit,"Some college, but less than 1 year",Divorced,Stockers And Order Fillers,North Carolina,Reference person,40.0,Female,White,False
36.0,Private For-Profit,GED or alternative credential,Married,"Welding, Soldering, And Brazing Workers",Louisiana,Reference person,50.0,Male,White,True
40.0,Private For-Profit,Bachelor's degree,Married,Customer Service Representatives,England,Reference person,40.0,Female,White,True
31.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Managers,israel,Reference person,40.0,Male,White,False
-5.0,Private For-Profit,Bachelor's degree,Married,Managers,Pennsylvania,Husband/wife,55.0,Male,White,True
27.0,Private For-Profit,Bachelor's degree,Never married,Managers,New York,Reference person,,Male,White,True
50.0,Private Non-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Divorced,Childcare Workers,CALIFORNIA,Biological son or daughter,48.0,Male,White,True
23.0,Private For-Profit,Regular high school diploma,Never married,Correspondence Clerks And Order Clerks,Cuba,reference person,40.0,Male,Other Race,False
40.0,Local Government,MASTER'S DEGREE,Never married,"Title Examiners, Abstractors, and Searchers",Maryland,Reference person,40.0,Male,White,True
20.0,Private For-Profit,Regular high school diploma,Never married,Telemarketers,texas,Housemate or roommate,40.0,Female,Black,False
43.0,Private For-Profit,Bachelor's degree,Divorced,"Sales Representatives, Wholesale And Manufacturing",texas,Reference person,60.0,Female,White,True
64.0,,Regular high school diploma,Married,First-Line Supervisors Of Retail Sales Workers,New Jersey,Husband/wife,50.0,Female,White,False
28.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Never married,"Lawyers, And Judges, Magistrates, And Judicial Workers",ILLINOIS,Unmarried partner,50.0,Female,White,False
66.0,Private For-Profit,Master's degree,Married,Computer Programmers,New York,Reference person,40.0,Male,White,True
19.0,Private For-Profit,"Some college, but less than 1 year",Never married,Parking Lot Attendants,georgia,Biological son or daughter,,Male,Black,False
48.0,Private For-Profit,"12th grade, no diploma",Separated,Medical And Health Services Managers,connecticut,Noninstitutionalized group quarters population,40.0,fem,Black,False
39.0,Self-Employed (Inc.),GED or alternative credential,Married,Billing And Posting Clerks,Georgia,Husband/wife,25.0,Female,White,False
57.0,Private For-Profit,Regular high school diploma,Married,"Inspectors, Testers, Sorters, Samplers, And Weighers",Michigan,Husband/wife,40.0,Female,White,False
61.0,Self-Employed (Not Inc.),bachelor's degree,Married,"Bookkeeping, Accounting, And Auditing Clerks",Tennessee,Husband/wife,15.0,Female,White,False
23.0,Private For-Profit,Bachelor's degree,Never married,"Opticians, Dispensing",Indiana,Housemate or roommate,40.0,Female,White,False
34.0,Private For-Profit,Associate's degree,Married,Carpenters,indiana,Reference person,60.0,Male,wht,True
30.0,Self-Employed (Not Inc.),REGULAR HIGH SCHOOL DIPLOMA,Never married,"Hairdressers, Hairstylists, And Cosmetologists",California,Housemate or roommate,30.0,Female,Asian,False
45.0,Private Non-Profit,bachelor's degree,Married,Human Resources Workers,Kentucky,Reference person,50.0,Female,White,False
,Private For-Profit,GRADE 11,Never married,Recreation Workers,California,Other relative,25.0,Female,White,False
64.0,Self-Employed (Inc.),Doctorate degree,Married,Clinical And Counseling Psychologists,Ohio,Reference person,50.0,Male,White,False
64.0,Private For-Profit,"Some college, but less than 1 year",Divorced,Stockers And Order Fillers,Michigan,Reference person,43.0,Female,White,False
73.0,Private For-Profit,Doctorate degree,Married,Computer Support Specialists,New York,Reference person,12.0,Male,White,True
28.0,Private For-Profit,Grade 8,Never married,Agricultural And Food Science Technicians,Mexico,Reference person,60.0,male,Other Race,False
54.0,Private For-Profit,Regular high school diploma,Separated,"Bus Drivers, School",Cuba,Reference person,30.0,Female,White,False
49.0,Private For-Profit,"Some college, but less than 1 year",Married,First-Line Supervisors Of Office And Administrative Support Workers,CANADA,Reference person,45.0,Male,White,True
23.0,Private For-Profit,bachelor's degree,Never married,Unknown,Texas,biological son or daughter,40.0,Female,White,False
40.0,Private For-Profit,Bachelor's degree,Never married,Unknown,Texas,Reference person,40.0,Female,Asian,True
33.0,Private For-Profit,Bachelor's degree,Married,Computer Programmers,india,Reference person,40.0,M,Asian,True
59.0,Private For-Profit,Regular high school diploma,Married,Driver/Sales Workers And Truck Drivers,Pennsylvania,Reference person,65.0,Female,White,True
37.0,Private For-Profit,Bachelor's degree,NEVER MARRIED,Technical Writers,Missouri,Reference person,40.0,m,White,False
55.0,Private For-Profit,BACHELOR'S DEGREE,Married,Registered Nurses,Florida,husband/wife,16.0,Female,White,False
82.0,Private For-Profit,Bachelor's degree,Divorced,Receptionists And Information Clerks,Utah,Reference person,60.0,Female,White,False
61.0,Private Non-Profit,Doctorate degree,Married,Postsecondary Teachers,Oregon,Reference person,40.0,Female,White,True
35.0,Private For-Profit,"One or more years of college credit, no degree",Never married,,new jersey,Institutionalized group quarters population,45.0,Male,Two or More Race,False
46.0,Private For-Profit,Regular high school diploma,Married,Cutting Workers,Indiana,Husband/wife,40.0,Male,White,False
41.0,Private For-Profit,Associate's degree,Divorced,Riggers,Minnesota,Unmarried partner,,Male,White,False
,Private For-Profit,"One or more years of college credit, no degree",Married,Packaging And Filling Machine Operators And Tenders,Mexico,Husband/wife,40.0,Female,White,False
28.0,Private For-Profit,Regular high school diploma,never married,Driver/Sales Workers And Truck Drivers,california,Reference person,32.0,m,White,False
41.0,Private For-Profit,GED or alternative credential,Separated,First-Line Supervisors Of Retail Sales Workers,New Mexico,reference person,56.0,fem,White,False
26.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Married,"Installation, Maintenance, And Repair Workers",Florida,reference person,18.0,Female,White,False
55.0,Private For-Profit,Grade 8,Separated,Cooks,georgia,Noninstitutionalized group quarters population,40.0,Male,Black,False
54.0,Private For-Profit,Master's degree,Widowed,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Dominican Republic,Reference person,30.0,Female,Asian,False
64.0,Private For-Profit,regular high school diploma,Widowed,Janitors And Building Cleaners,Louisiana,Reference person,40.0,Male,White,False
27.0,Private For-Profit,Master's degree,MARRIED,Exercise Trainers And Group Fitness Instructors,India,Husband/wife,36.0,Female,Asian,False
19.0,Private For-Profit,"one or more years of college credit, no degree",Never married,Teaching Assistants,Massachusetts,Noninstitutionalized group quarters population,20.0,Female,White,False
42.0,Self-Employed (Not Inc.),Grade 9,Separated,Animal Trainers,Texas,Unmarried partner,50.0,Male,White,False
54.0,Private For-Profit,"One or more years of college credit, no degree",Married,Cashiers,Ohio,Husband/wife,200.0,Female,White,False
29.0,State Government,Professional degree beyond a bachelor's degree,Married,Physicians,Michigan,husband/wife,50.0,Female,White,True
65.0,Private Non-Profit,"One or more years of college credit, no degree",Married,"Office Clerks, General",PUERTO RICO,Husband/wife,30.0,Female,wht,False
57.0,Self-Employed (Inc.),master's degree,Married,Management Analysts,Oklahoma,Husband/wife,50.0,m,White,True
,Private For-Profit,Professional degree beyond a bachelor's degree,Married,Pharmacists,Minnesota,reference person,42.0,Male,White,True
31.0,Without Pay,Regular high school diploma,Never married,Carpenters,texas,Biological son or daughter,20.0,Male,White,False
36.0,Local Government,Master's degree,Married,Social And Human Service Assistants,New York,Reference person,35.0,Male,Black,True
53.0,Private For-Profit,Associate's degree,Married,"Bookkeeping, Accounting, And Auditing Clerks",Colorado,Reference person,40.0,Female,wht,False
63.0,Local Government,Master's degree,Divorced,Postsecondary Teachers,NEW MEXICO,Reference person,,Female,wht,True
54.0,Private For-Profit,Bachelor's degree,Married,Computer Support Specialists,MISSOURI,Reference person,50.0,Male,White,True
37.0,Private For-Profit,Bachelor's degree,Never married,First-Line Supervisors Of Retail Sales Workers,NEW JERSEY,Reference person,17.0,Female,wht,False
74.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Married,Surgeons,IOWA,Reference person,50.0,Male,wht,True
74.0,Local Government,Master's degree,Divorced,Elementary And Middle School Teachers,KENTUCKY,Reference person,21.0,Female,White,False
39.0,Private For-Profit,Master's degree,Married,Project Management Specialists,indonesia,Reference person,40.0,Male,White,True
26.0,Private Non-Profit,BACHELOR'S DEGREE,Married,Registered Nurses,california,Reference person,36.0,F,White,True
42.0,Self-Employed (Inc.),Professional degree beyond a bachelor's degree,Married,Managers,Washington,Husband/wife,65.0,Male,White,True
43.0,Local Government,Master's degree,Married,,Minnesota,Reference person,,Female,White,False
25.0,Private For-Profit,Associate's degree,Never married,"Life, Physical, And Social Science Technicians",Florida,Reference person,200.0,Male,White,False
56.0,Private For-Profit,No schooling completed,Married,Janitors And Building Cleaners,Mexico,Husband/wife,40.0,Female,White,False
20.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Cashiers,Delaware,biological son or daughter,20.0,Female,Black,False
25.0,Private For-Profit,"One or more years of college credit, no degree",Never married,General And Operations Managers,Mexico,Housemate or roommate,45.0,Male,Other Race,False
33.0,Private For-Profit,GED or alternative credential,Never married,Personal Care Aides,california,Noninstitutionalized group quarters population,40.0,Female,Black,False
27.0,Private For-Profit,Bachelor's degree,Married,Accountants And Auditors,Illinois,Reference person,45.0,Female,White,True
42.0,Private For-Profit,Regular high school diploma,Married,Billing And Posting Clerks,Vietnam,Reference person,40.0,Female,Asian,False
36.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Management Analysts,Florida,Unmarried partner,60.0,Male,White,False
56.0,Without Pay,GRADE 9,Married,Janitors And Building Cleaners,Cuba,reference person,25.0,Male,White,False
39.0,Private For-Profit,Associate's degree,Married,Licensed Practical And Licensed Vocational Nurses,Pennsylvania,Reference person,40.0,Female,Black,False
30.0,Private For-Profit,"One or more years of college credit, no degree",Married,Receptionists And Information Clerks,Louisiana,Husband/wife,40.0,fem,White,False
72.0,,Regular high school diploma,Married,Sewing Machine Operators,Montana,Husband/wife,10.0,Female,White,False
32.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Hairdressers, Hairstylists, And Cosmetologists",PENNSYLVANIA,Reference person,38.0,fem,White,False
31.0,Private For-Profit,Associate's degree,Married,Nursing Assistants,Mississippi,reference person,20.0,F,Black,False
40.0,Private For-Profit,Regular high school diploma,Married,Taxi Drivers,Jamaica,Husband/wife,40.0,Male,Black,False
36.0,Private For-Profit,Master's degree,Never married,"Shipping, Receiving, And Inventory Clerks",Ohio,Housemate or roommate,40.0,M,White,True
,Private For-Profit,associate's degree,Married,Radiologic Technologists And Technicians,Pennsylvania,Father or mother,40.0,Female,White,True
39.0,Private For-Profit,Bachelor's degree,Married,Computer And Information Systems Managers,West Virginia,Housemate or roommate,40.0,male,White,False
51.0,Private For-Profit,"One or more years of college credit, no degree",Married,Transportation Inspectors,Texas,Reference person,50.0,Male,wht,True
20.0,Private For-Profit,Regular high school diploma,Never married,Pipelayers,Kansas,Reference person,40.0,Male,wht,False
42.0,,Master's degree,Married,Project Management Specialists,India,Reference person,40.0,Male,Asian,True
22.0,Private For-Profit,Associate's degree,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Wyoming,Reference person,45.0,Female,White,False
69.0,Private For-Profit,"Some college, but less than 1 year",married,Cashiers,New York,Reference person,20.0,m,White,False
23.0,Private For-Profit,Regular high school diploma,Never married,Waiters And Waitresses,North Carolina,Reference person,30.0,Female,White,False
21.0,Private For-Profit,Associate's degree,Never married,"Heating, Air Conditioning, And Refrigeration Mechanics And Installers",Iowa,Brother or sister,45.0,Male,White,False
35.0,Private For-Profit,"Some college, but less than 1 year",Married,Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics,ALASKA,Reference person,50.0,Male,White,False
33.0,Private For-Profit,"Some college, but less than 1 year",Never married,"Business Operations Specialists, All Other",ARIZONA,Biological son or daughter,50.0,Male,Two or More Race,False
43.0,Self-Employed (Inc.),Bachelor's degree,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Alabama,Reference person,10.0,Female,White,False
28.0,Private For-Profit,BACHELOR'S DEGREE,Never married,Drafters,new york,Reference person,35.0,Male,White,False
40.0,Private For-Profit,Bachelor's degree,Married,Marketing Managers,Illinois,husband/wife,40.0,Female,White,True
999.0,Private For-Profit,No schooling completed,Never married,Cooks,Guatemala,Reference person,80.0,Male,White,False
,Private For-Profit,Regular high school diploma,Married,Food Preparation Workers,Colombia,reference person,40.0,Female,Other Race,False
47.0,Local Government,"One or more years of college credit, no degree",Married,Food Preparation Workers,Peru,Husband/wife,29.0,Female,Other Race,False
30.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Never married,Refuse And Recyclable Material Collectors,West Virginia,Unmarried partner,30.0,Male,White,False
63.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,Network And Computer Systems Administrators,Tennessee,Husband/wife,40.0,Male,Black,False
43.0,Private Non-Profit,BACHELOR'S DEGREE,Separated,Registered Nurses,California,Reference person,40.0,Female,Two or More Race,True
66.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Widowed,"Wholesale And Retail Buyers, Except Farm Products",Germany,Reference person,3.0,Female,White,False
,Self-Employed (Inc.),BACHELOR'S DEGREE,Married,Managers,Massachusetts,Husband/wife,40.0,Male,White,False
20.0,Private For-Profit,"one or more years of college credit, no degree",Never married,Nursing Assistants,north carolina,Biological son or daughter,8.0,F,White,False
55.0,Self-Employed (Not Inc.),REGULAR HIGH SCHOOL DIPLOMA,Never married,Automotive Service Technicians And Mechanics,Alabama,Reference person,25.0,Male,Black,False
38.0,Local Government,MASTER'S DEGREE,married,Elementary And Middle School Teachers,New York,Husband/wife,45.0,F,wht,True
58.0,Private For-Profit,"12th grade, no diploma",Divorced,First-Line Supervisors Of Food Preparation And Serving Workers,Pennsylvania,Unmarried partner,,Female,White,False
24.0,Private For-Profit,Regular high school diploma,never married,"Shipping, Receiving, And Inventory Clerks",Louisiana,Other nonrelative,40.0,Male,Black,False
70.0,Self-Employed (Inc.),Master's degree,Widowed,Retail Salespersons,California,Reference person,20.0,Female,White,True
25.0,,Bachelor's degree,Never married,Market Research Analysts And Marketing Specialists,Indiana,reference person,40.0,Female,White,False
65.0,Self-Employed (Inc.),"one or more years of college credit, no degree",Married,First-Line Supervisors Of Retail Sales Workers,Massachusetts,Husband/wife,40.0,Male,White,True
39.0,Local Government,Regular high school diploma,MARRIED,Billing And Posting Clerks,Florida,Reference person,40.0,Female,White,False
27.0,Local Government,"One or more years of college credit, no degree",Never married,Firefighters,arizona,biological son or daughter,48.0,Male,White,False
31.0,Self-Employed (Not Inc.),BACHELOR'S DEGREE,Married,Tutors,Oklahoma,reference person,4.0,F,White,False
50.0,Private For-Profit,Regular high school diploma,Married,Food Service Managers,Michigan,Reference person,40.0,Male,White,True
36.0,Local Government,Bachelor's degree,Married,,New York,Reference person,40.0,Male,White,True
,Local Government,Associate's degree,Never married,Unknown,New York,Biological son or daughter,,Male,White,False
30.0,Private For-Profit,GED or alternative credential,Never married,Unknown,TEXAS,Reference person,39.0,Female,White,False
20.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Cashiers,Minnesota,Housemate or roommate,40.0,Male,White,False
74.0,Self-Employed (Inc.),"some college, but less than 1 year",Married,"Hairdressers, Hairstylists, And Cosmetologists",Texas,husband/wife,16.0,Male,White,False
33.0,Private For-Profit,Bachelor's degree,Married,"Claims Adjusters, Appraisers, Examiners, And Investigators",Missouri,Reference person,65.0,Female,White,True
